-23.5849 -46.6094 774.97 978636.66 9.788739 9.788590 9.788598
-23.5834 -46.6095 736.51 978645.30 9.788738 9.788589 9.788597
-23.6502 -46.6270 794.05 978638.26 9.788782 9.788633 9.788641
-23.5567 -46.6100 759.50 978627.31 9.788721 9.788571 9.788579
-23.6247 -46.6610 790.00 978635.78 9.788765 9.788616 9.788624
-23.5332 -46.6165 773.20 978635.63 9.788705 9.788556 9.788564
-23.6332 -46.6365 794.90 978636.19 9.788771 9.788622 9.788630
-23.5299 -46.3315 758.33 978633.13 9.788703 9.788554 9.788562
-23.5848 -46.7749 789.12 978635.13 9.788739 9.788590 9.788598
-23.5999 -46.6499 779.46 978638.41 9.788749 9.788600 9.788608
-23.5898 -46.6149 774.97 978637.09 9.788742 9.788593 9.788601
-23.5399 -46.2199 736.30 978645.00 9.788709 9.788560 9.788568
-23.6082 -46.9265 853.54 978616.03 9.788755 9.788605 9.788613
-23.5199 -46.1832 744.74 978640.40 9.788696 9.788547 9.788555
-23.5099 -46.7349 743.62 978637.19 9.788690 9.788540 9.788548
-23.4532 -46.7799 766.67 978628.70 9.788652 9.788503 9.788511
-23.4332 -46.4832 825.00 978626.81 9.788639 9.788490 9.788498
-23.7300 -46.5464 767.23 978656.90 9.788835 9.788686 9.788694
-23.8043 -46.5423 748.44 978670.95 9.788884 9.788736 9.788744
-23.6746 -46.3497 766.74 978656.13 9.788798 9.788649 9.788657
-23.7082 -46.4120 763.22 978659.03 9.788821 9.788672 9.788680
-23.6558 -46.4508 846.13 978632.66 9.788786 9.788637 9.788645
-23.6444 -46.5210 783.30 978644.25 9.788778 9.788629 9.788637
-23.6076 -46.5727 799.40 978639.31 9.788754 9.788605 9.788613
-23.6540 -46.5712 753.04 978649.85 9.788785 9.788636 9.788644
-23.6246 -46.6609 790.01 978635.47 9.788765 9.788616 9.788624
-23.6171 -46.7007 729.82 978650.38 9.788760 9.788611 9.788619
-23.6142 -46.7311 813.01 978632.82 9.788758 9.788609 9.788617
-23.5719 -46.7012 726.19 978644.56 9.788731 9.788581 9.788589
-23.5659 -46.7187 744.57 978640.11 9.788727 9.788577 9.788585
-23.5136 -46.7262 720.53 978641.76 9.788692 9.788543 9.788551
-23.5072 -46.6891 728.39 978638.45 9.788688 9.788539 9.788547
-23.4894 -46.6261 802.71 978621.89 9.788676 9.788527 9.788535
-23.5184 -46.6249 721.82 978639.89 9.788695 9.788546 9.788554
-23.5675 -46.5871 798.01 978629.06 9.788728 9.788578 9.788586
-23.5371 -46.4551 751.27 978636.96 9.788708 9.788558 9.788566
-23.5444 -46.4092 761.64 978639.34 9.788712 9.788563 9.788571
-23.5284 -46.3448 757.26 978640.72 9.788702 9.788553 9.788561
