-23.5849 -46.6094 774.97 978636.66
-23.5834 -46.6095 736.51 978645.30
-23.6502 -46.6270 794.05 978638.26
-23.5567 -46.6100 759.50 978627.31
-23.6247 -46.6610 790.00 978635.78
-23.5332 -46.6165 773.20 978635.63
-23.6332 -46.6365 794.90 978636.19
-23.5299 -46.3315 758.33 978633.13
-23.5848 -46.7749 789.12 978635.13
-23.5999 -46.6499 779.46 978638.41
-23.5898 -46.6149 774.97 978637.09
-23.5399 -46.2199 736.30 978645.00
-23.6082 -46.9265 853.54 978616.03
-23.5199 -46.1832 744.74 978640.40
-23.5099 -46.7349 743.62 978637.19
-23.4532 -46.7799 766.67 978628.70
-23.4332 -46.4832 825.00 978626.81
-23.7300 -46.5464 767.23 978656.90
-23.8043 -46.5423 748.44 978670.95
-23.6746 -46.3497 766.74 978656.13
-23.7082 -46.4120 763.22 978659.03
-23.6558 -46.4508 846.13 978632.66
-23.6444 -46.5210 783.30 978644.25
-23.6076 -46.5727 799.40 978639.31
-23.6540 -46.5712 753.04 978649.85
-23.6246 -46.6609 790.01 978635.47
-23.6171 -46.7007 729.82 978650.38
-23.6142 -46.7311 813.01 978632.82
-23.5719 -46.7012 726.19 978644.56
-23.5659 -46.7187 744.57 978640.11
-23.5136 -46.7262 720.53 978641.76
-23.5072 -46.6891 728.39 978638.45
-23.4894 -46.6261 802.71 978621.89
-23.5184 -46.6249 721.82 978639.89
-23.5675 -46.5871 798.01 978629.06
-23.5371 -46.4551 751.27 978636.96
-23.5444 -46.4092 761.64 978639.34
-23.5284 -46.3448 757.26 978640.72
-23.5407 -46.2705 736.88 978649.15
-23.5425 -46.2441 737.41 978643.80
-23.5210 -46.1949 743.16 978640.29
-23.4823 -46.3482 759.89 978634.75
-23.7001 -46.7006 785.07 978641.88
-23.7807 -46.7251 741.77 978660.95
-23.8277 -46.7306 774.66 978662.06
-23.8274 -46.8130 746.92 978663.25
-23.7170 -46.8490 906.33 978616.81
-23.6486 -46.8521 778.06 978637.56
-23.6174 -46.9524 853.12 978615.86
-23.3956 -46.7657 797.08 978624.53
-23.8472 -46.3914 3.68 978816.88
-23.6269 -46.6291 749.49 978646.16
-23.6124 -46.6274 745.58 978646.86
-23.5814 -46.6257 790.87 978632.69
-23.5761 -46.6429 798.06 978630.55
-23.5622 -46.6394 752.54 978634.99
-23.5477 -46.6386 734.52 978639.13
-23.5597 -46.6547 782.84 978629.25
-23.5834 -46.6799 732.41 978645.59
-23.6201 -46.6784 740.59 978646.29
-23.6531 -46.7061 754.20 978646.61
-23.6509 -46.6839 793.49 978638.45
-23.6747 -46.6782 764.53 978645.99
-23.6652 -46.6587 763.11 978645.75
-23.5479 -46.6811 822.42 978621.26
-23.5167 -46.6392 722.91 978640.74
-23.5152 -46.6532 720.74 978641.30
-23.5226 -46.6504 721.67 978641.78
-23.4739 -46.6671 745.32 978634.70
-23.4826 -46.6782 728.76 978638.51
-23.4956 -46.6992 757.14 978633.93
-23.4837 -46.7126 765.79 978630.25
-23.4772 -46.7397 787.68 978625.39
-23.4537 -46.6967 796.37 978624.47
-23.4317 -46.7254 822.71 978620.20
-23.3974 -46.7174 816.33 978619.16
-23.3799 -46.6321 798.80 978620.79
-23.4724 -46.6192 805.94 978620.81
-23.5004 -46.6132 730.54 978636.41
